"Identifikator";"Firma";"Zusatz";"PLZ";"Ort";"Status";"Bemerkung"
"108090 12345";"Service électricité de Soulce";"";"2864";"Commune de Haute-Sorne";"AKTIV";"Ehemals: Service électricité de la commune de Soulce, 2864 Soulce (Fusion der Gemeinden Bassecourt, Courfaivre, Glovelier, Soulce und Undervelier per 1.1.2013)"
"108100 12345";"GEBNET AG";"";"4583";"Aetigkofen";"PASSIV";"Ehemals: Einwohnergemeinde Gemeindeverwaltung, 4581 Küttigkofen (Beitritt 1.4.2010)"
"108110 12345";"Elektrizitätsgenossenschaft Zeneggen";"";"3934";"Zeneggen";"AKTIV";""
"108120 12345";"Elektrizitätswerk Rheinwald";"";"7435";"Splügen";"PASSIV";"Ehemals: Elektrizitätswerk Hinterrhein, 7438 Hinterrhein (Fusion von EW Hinterrhein, EW Splügen und EW Nufenen  per 1.1.2019)"
"108130 12345";"Einwohnergemeinde Arch";"Elektroversorgung";"3296";"Arch";"AKTIV";""
"108140 12345";"Genossenschaft Elektra Hatswil";"";"8580";"Hefenhofen";"AKTIV";""
"108150 12345";"Elektrizitätsversorgung Leuzigen";"";"3297";"Leuzigen";"AKTIV";""
"108160 12345";"Elektra Oberwil";"zhdv Energiekommission";"3298";"Oberwil b. Büren";"AKTIV";""
"108170 12345";"Elektrizitätswerk Zuzwil (SG)";"";"9524";"Zuzwil SG";"AKTIV";""
"108180 12345";"Elektrizitätsgenossenschaft Jonen";"";"8916";"Jonen";"AKTIV";""
"108190 12345";"Administration Communale";"Service électrique";"2825";"Courchapoix";"AKTIV";""
"108200 12345";"Technische Gemeindebetriebe TGB";"Elektrizitätsversorgung";"9220";"Bischofszell";"PASSIV";"Ehemals: Elektrizitäts-Genossenschaft Olmerswil, 9217 Neukirch (Übernahme Netzgebied 2014 von EKT)"
"108210 12345";"Genossenschaft Elektra Rapperswil (BE)";"";"3255";"Rapperswil BE";"AKTIV";""
"108220 12345";"Politische Gemeinde Erlen Werkverwaltung Elektrizitätswerk";"";"8586";"Erlen";"AKTIV";""
"108230 12345";"Elektrizitäts-Genossenschaft Aettenschwil";"";"5645";"Aettenschwil";"AKTIV";""
"108240 12345";"Elektra Beinwil";"";"5637";"Beinwil (Freiamt)";"PASSIV";"Ehemals: Elektra Brunnwil, 5637 Beinwil (Freiamt) (Übernahme per 1.1.2011)"
"108250 12345";"Elektrizitätswerk Rheinwald";"";"7435";"Splügen";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Splügen, 7435 Splügen (Fusion von EW Hinterrhein, EW Splügen und EW Nufenen  per 1.1.2019)"
"108260 12345";"Kraftwerke Engelbergeraa  Aa";"";"6370";"Oberdorf NW";"AKTIV";""
"108270 12345";"Genossenschaft Elektra Nennigkofen";"";"4574";"Nennigkofen";"AKTIV";""
"108280 12345";"Elektra Zeiningen";"";"4314";"Zeiningen";"AKTIV";""
"108290 12345";"Werkbetriebe Matzingen";"";"9548";"Matzingen";"PASSIV";"Ehemals: Elektrakorporation Dingenhart, 8500 Frauenfeld (Übernahme durch die WBM per 1.1.2018)"
"108300 12345";"Elektrizitäts-Genossenschaft Brüschwil-Sonnenberg";"";"8580";"Hefenhofen";"AKTIV";""
"108310 12345";"EW der Politischen Gemeinde Wäldi";"";"8564";"Hefenhausen";"PASSIV";"Ehemals: Wasser- und Elektragenossenschaft Wäldi, 8564 Wäldi (Übernahme per 1.1.2011)"
"108320 12345";"Elektrizitätswerk der Gemeinde Surses";"";"7453";"Tinizong";"PASSIV";"Ehemals: Elektrizitätswerk der Gemeinde Cunter, 7452 Cunter (31.12.2016)"
"108330 12345";"Elektrizitätswerk der politischen Gemeinde Lommis";"";"9506";"Lommis";"AKTIV";""
"108340 12345";"Elektrizitätswerk der Gemeinde Güttingen";"";"8594";"Güttingen";"AKTIV";""
"108350 12345";"St. Gallisch-Appenzellische Kraftwerke AG";"";"9000";"St. Gallen";"PASSIV";"Elektrizitätsgenossenschaft Muolen, 9313 Muolen (Übernahme 2020)"
"108360 12345";"Comune di Bregaglia";"Azienda Elettrica Bregaglia AEB";"7606";"Promontogno";"PASSIV";"Ehemals: Azienda Elettrica Comune di Stampa, 7605 Stampa (bis 31.12.2009)"
"108370 12345";"Technische Betriebe Seon AG";"Elektrizitätswerk";"5703";"Seon";"AKTIV";""
"108380 12345";"Elektrizitäts-Genossenschaft Schönholzerswilen";"";"8577";"Schönholzerswilen";"AKTIV";""
"108390 12345";"Elektra Horn AG";"";"9326";"Horn";"AKTIV";""
"108400 12345";"Elektrizitätswerk Riedbach";"";"3932";"Visperterminen";"AKTIV";""
"108410 12345";"Aziende Industriali di Lugano (AIL) SA";"";"6933";"Muzzano";"PASSIV";"Ehemals: Azienda Elettrica Comunale Rivera, 6802 Rivera (Übernahme 2008)"
"108420 12345";"Technische Gemeindebetriebe Märstetten";"";"8560";"Märstetten";"PASSIV";"Ehemals: Elektra-Korporation Neuburg-Wald, 8561 Ottoberg (Übernahme 1.1.2010)"
"108430 12345";"Elektrizitätsgenossenschaft Allenwinden";"";"6319";"Allenwinden";"AKTIV";""
"108440 12345";"Elektra Oberwil-Lieli";"c/o Finanzverwaltung";"8966";"Oberwil-Lieli";"AKTIV";""
"108450 12345";"Politische Gemeinde Zihlschlacht-Sitterdorf";"Elektrizitätswerk Blidegg";"8588";"Zihlschlacht";"AKTIV";""
"108460 12345";"Technische Betriebe Glarus";"";"8750";"Glarus";"PASSIV";"Ehemals: Elektrizitätsversorgung Riedern, 8750 Riedern (bis 2010)"
"108470 12345";"Elektrizitätsversorgung Schöftland";"";"5040";"Schöftland";"AKTIV";""
"108480 12345";"SI Vérossaz, Administration communale";"";"1891";"Vérossaz";"AKTIV";""
"108490 12345";"Elektra-Korporation Reute";"";"9411";"Reute AR";"AKTIV";""
"108500 12345";"GEBNET AG";"";"4583";"Aetigkofen";"PASSIV";"Ehemals: Elektra Gossliwil, 4573 Lohn-Ammannsegg (Beitritt 1.1.2011)"
"108510 12345";"Services industriels de Romanel";"";"1032";"Romanel-sur-Lausanne";"AKTIV";""
"108520 12345";"Elektrizitätsversorgung Villigen (EVV)";"";"5234";"Villigen";"AKTIV";""
"108530 12345";"Arosa Energie";"";"7050";"Arosa";"PASSIV";"Ehemals: Elektrizitätswerk Castiel, 7027 Castiel; 1.1.2013 Gemeinfusion der Gemeinden Arosa,  Calfreisen,  Castiel,  Langwies,  Lüen,  Molinis,  Peist  und  St.  Peter-Pagig zur Gemeinde Arosa"
"108540 12345";"EV Energieversorgung Biberist";"";"4562";"Biberist";"AKTIV";""
"108550 12345";"Energie- und Wasserversorgung Ins";"";"3232";"Ins";"AKTIV";""
"108560 12345";"Romande Energie SA";"";"1110";"Morges";"PASSIV";"Ehemals: Société électrique de Vevey-Montreux SA, 1110 Morges (bis 2016)"
"108570 12345";"Bas-Valais Energie SA";"c/o Romande Energie SA";"1110";"Morges";"AKTIV";"Ehemals: Société électrique du Bas-Valais SA, 1110 Morges (bis 2012)"
"108580 12345";"B-Valgrid SA";"";"1950";"Sion";"AKTIV";""
"108590 12345";"Valgrid SA";"";"1950";"Sion";"AKTIV";""
"108600 12345";"Verband Schweizerischer Elektrizitätsunternehmen VSE";"";"5000";"Aarau";"PASSIV";"Die Id wurde nicht vergeben"
"108610 12345";"GEBNET AG";"";"4583";"Aetigkofen";"PASSIV";"Ehemals: Elektra Biezwil, 4585 Biezwil (Beitritt 1.1.2011)"
"108620 12345";"GEBNET AG";"";"4583";"Aetigkofen";"PASSIV";"Ehemals: Elektra Tscheppach, 4576 Tscheppach (Beitritt 1.1.2010)"
"108630 12345";"GEBNET AG";"";"4583";"Aetigkofen";"PASSIV";"Ehemals: Elektra Hessigkofen, 4577 Hessigkofen (Beitritt 1.1.2010)"
"108640 12345";"SBB AG - Geschäftsbereich Energie";"";"3052";"Zollikofen";"PASSIV";"Ehemals: SBB AG, 3000 Bern"
"108650 12345";"Genossenschaft Elektra Egnach";"";"9322";"Egnach";"AKTIV";""
"108660 12345";"Gemeinde Subingen";"";"4553";"Subingen";"AKTIV";""
"108670 12345";"Elektra Steinebrunn";"";"9315";"Neukirch";"AKTIV";""
"108680 12345";"Einwohnergemeinde Kriegstetten";"";"4566";"Kriegstetten";"AKTIV";""
